defect_id,feature_id,feature_name,requirement_ids,acceptance_condition_ids,test_case_ids,test_ids,review_ids,summary,found_date,detection_phase,discovery_method,severity,defect_category,reproduction_steps,expected_result,actual_result,expected_result_review,missed_reason,cause,cause_category,fix_summary,prevention_action,added_or_updated_tests,prevention_targets,regression_verified,ai_involvement,status,traceability_status,reviewer
D-LOGIN-001,F-001,ログイン,F-001,F-001-AC-001;F-001-AC-005;F-001-AC-006,BE-ORA-001,AuthControllerOracleIT.loginSucceedsWithOracleDatabase,LOGIN-ORA-001;LOGIN-REG-001,Oracle実機向けのテーブル定義と接続プロファイルが未整備,2026-06-27,レビュー,DB構成確認,Medium,DB設定,ログイン機能のDB構成を確認したところH2テスト設定のみでOracle ORCL向けDDLと接続プロファイルが不足していた,Oracleテストユーザでログイン機能に必要なusersテーブルを作成しDB接続確認できる,H2 Oracleモードでの自動テストはあるがOracle実機向けDDLと接続設定が不足していた,OK（Oracleケースの期待結果は妥当）,,初期実装時点ではOracle接続先情報が未確定だったためH2代替で実装した,,application-oracle-test.ymlとschema-login.sql/drop-login.sqlおよびOracle接続手順を追加しDataInitializerをtest/oracle-test限定に整理,,AuthControllerOracleITを追加しOracle実機接続とログイン成功を確認,,保留（Oracle資格情報再確認後）,有,対応済み,整理済み,AIレビュー（2026-07-15）
D-LOGIN-002,F-001,ログイン,F-001,F-001-AC-001;F-001-AC-006,BE-AUTH-001;BE-ORA-001,AuthControllerTest.loginSucceedsAndMeReturnsCurrentUser;AuthControllerOracleIT.loginSucceedsWithOracleDatabase,LOGIN-REG-001;LOGIN-ORA-001,初期ユーザーデータの日本語文字列が文字化けしていた,2026-06-27,レビュー,DB投入データ確認,Low,テストデータ,Oracle実機確認後にusersテーブルの初期データとDataInitializerを確認したところユーザー名やグループ名が文字化けしていた,初期ユーザー名とグループ名が日本語として読める状態で登録される,文字化けした文字列がDataInitializerに残っていた,OK（日本語ユーザー名の期待値を明記）,,ソース作成時の文字コード扱いが不適切だった,,DataInitializerの初期データ文字列を修正しOracleテストDBのデータを入れ直す,,AuthControllerOracleITを再実行してOracle実機ログインを確認,,保留（Oracle資格情報再確認後）,有,対応済み,整理済み,AIレビュー（2026-07-15）
D-LOGIN-003,F-001,ログイン,F-001,F-001-AC-005;F-001-AC-006,BE-AUTH-004;BE-AUTH-005;FE-AUTH-006;FE-AUTH-007;FE-AUTH-012,AuthControllerTest.logoutRequiresCsrfToken;AuthControllerTest.logoutWithCsrfInvalidatesSession;authApi.test.ts,LOGIN-SEC-001;LOGIN-REG-001,ログアウトAPIがCSRF保護対象外になっていた,2026-06-27,セキュリティレビュー,コードレビュー,High,CSRF,SecurityConfigで/api/auth/logoutがCSRF除外に含まれていた,状態変更APIはCSRFトークンを要求する,ログアウトがCSRFトークンなしでも実行可能だった,OK（CSRFなし拒否とCSRFあり成功を分離）,,ログイン・ログアウトをまとめてCSRF除外したため,,CSRF除外をログインAPIのみに限定しフロントのログアウトでXSRF-TOKENをX-XSRF-TOKENヘッダーに付与,,CSRFなしログアウト403とCSRFありログアウト204をAuthControllerTestに追加,,確認済み,有,対応済み,整理済み,AIレビュー（2026-07-15）
D-LOGIN-004,F-001,ログイン,F-001,F-001-AC-001;F-001-AC-006,BE-AUTH-008,AuthControllerTest.loginRegeneratesSessionId,LOGIN-SEC-001;LOGIN-REG-001,ログイン成功時にセッションIDを再発行していなかった,2026-06-27,セキュリティレビュー,コードレビュー,High,セッション管理,独自ログイン処理で認証成功後に既存セッションへ認証情報を保存していた,ログイン成功時にセッションIDを更新してセッション固定攻撃を防ぐ,changeSessionIdを呼ばずにSecurityContextをセッションへ保存していた,OK（ログイン前後のセッションID差分を確認）,,Spring Security標準フォームログインを使わず独自ログインを実装したため,,認証成功後にHttpServletRequest.changeSessionIdを呼び出すよう修正,,既存ログイン成功テストで認証後セッション利用を継続確認,,確認済み,有,対応済み,整理済み,AIレビュー（2026-07-15）
D-LOGIN-005,F-001,ログイン,F-001,-,-,設定レビュー,LOGIN-SEC-001,Cookie Secure属性が本番相当設定でfalseになっていた,2026-06-27,セキュリティレビュー,コードレビュー,Medium,Cookie設定,application.ymlとapplication-oracle-test.ymlでserver.servlet.session.cookie.secure=falseだった,NF-AUTH-004に従いCookieにはSecureを設定する,本番相当のデフォルト設定でもSecure=falseだった,対象外（本番相当設定レビュー）,,ローカルHTTPでの動作確認を優先した設定を共通化していた,,本番相当のapplication.ymlはSESSION_COOKIE_SECURE既定trueにしoracle-testはローカル確認用として既定falseを明示,,通常テストとOracle専用テストを再実行,,動作テストではなく設定レビュー対象,有,対応済み,対象外,AIレビュー（2026-07-15）
D-LOGIN-006,F-001,ログイン,F-001,-,-,秘密情報検査;設定レビュー,LOGIN-SEC-001,DBパスワードが設定ファイルと手順書に直書きされていた,2026-06-27,セキュリティレビュー,コードレビュー,Medium,資格情報管理,application-oracle-test.ymlとOracle接続手順にテストDBパスワードが記載されていた,DBパスワードは環境変数など外部設定で渡す,リポジトリ内の設定・手順にパスワード文字列が残っていた,対象外（秘密情報管理レビュー）,,ローカル接続確認の利便性を優先したため,,DBユーザーとパスワードを環境変数必須にし手順書はプレースホルダへ変更,,Oracle専用テストを環境変数指定で再実行,,動作テストではなく設定レビュー対象,有,対応済み,対象外,AIレビュー（2026-07-15）
D-LOGIN-007,F-001,ログイン,F-001,-,-,設定レビュー,LOGIN-SEC-001,本番相当設定でHibernate ddl-auto updateが有効だった,2026-06-27,セキュリティレビュー,コードレビュー,Medium,DB設定,application.ymlでspring.jpa.hibernate.ddl-auto=updateだった,本番相当ではDDLを自動変更せずvalidateまたはマイグレーションで管理する,起動時に意図せずスキーマが変更される可能性があった,対象外（DDL設定レビュー）,,初期実装の利便性として自動更新を残していた,,application.ymlのddl-autoをvalidateへ変更,,通常テストとOracle専用テストを再実行,,動作テストではなく設定レビュー対象,有,対応済み,対象外,AIレビュー（2026-07-15）
D-LOGIN-008,F-001,ログイン,F-001,F-001-AC-003;F-001-AC-006,BE-AUTH-006;BE-AUTH-010;BE-AUTH-011;BE-AUTH-012;FE-AUTH-009,AuthControllerTest.loginValidationRejectsTooLongLoginId;AuthControllerTest.loginValidationAcceptsMaxLengthLoginId;AuthControllerTest.loginValidationRejectsTooLongPassword;AuthControllerTest.loginValidationAcceptsMaxLengthPassword;LoginForm.test.tsx,LOGIN-BND-001;LOGIN-EXP-001;LOGIN-REG-001,ログイン入力値の長さ制限が不足していた,2026-06-27,セキュリティレビュー,コードレビュー,Medium,入力チェック,LoginRequestが@NotBlankのみで長大なログインIDやパスワードを受け付けていた,DB定義や認証処理の想定範囲に合わせて入力長を制限する,極端に長い入力で不要なDB照会やBCrypt処理負荷が発生し得た,要補足（最大長ケースは形式通過の根拠を明記）,,必須チェックのみ先行実装したため,,@SizeでloginId最大80文字・password最大100文字を追加,,長すぎるログインIDが400になるテストを追加,,確認済み,有,対応済み,整理済み,AIレビュー（2026-07-15）
D-LOGIN-009,F-001,ログイン,F-001,-,-,App.tsxコードレビュー,LOGIN-CODE-001,Appコンポーネントに複数責務が集まっていた,2026-06-27,可読性レビュー,リーダブルコード観点レビュー,Medium,可読性,App.tsxを確認したところログイン画面とログイン後画面と認証状態管理が1コンポーネントに集約されていた,画面表示部品と状態管理の責務が読み分けやすい,1コンポーネント内で複数の責務を追う必要があった,対象外（コードレビュー）,,初期実装で画面規模が小さかったため分割を後回しにした,,LoginFormとAuthenticatedHomeに分割しロール別タイトルを対応表へ整理,,npm run typecheckとnpm run buildで確認,,動作テストではなくコードレビュー対象,有,対応済み,対象外,AIレビュー（2026-07-15）
D-LOGIN-010,F-001,ログイン,F-001,-,-,AuthController.javaコードレビュー,LOGIN-CODE-001,AuthController.loginの責務が多かった,2026-06-27,可読性レビュー,リーダブルコード観点レビュー,Medium,可読性,loginメソッドに認証・SecurityContext生成・セッションID再発行・セッション保存・レスポンス変換が並んでいた,ログイン処理の主要な流れとセッション確立の詳細が分離されている,1メソッド内で複数の抽象度が混在していた,対象外（コードレビュー）,,独自ログイン処理の実装を優先したため,,establishAuthenticatedSessionへセッション確立処理を切り出し,,通常mvn testで確認,,動作テストではなくコードレビュー対象,有,対応済み,対象外,AIレビュー（2026-07-15）
D-LOGIN-011,F-001,ログイン,F-001,F-001-AC-001;F-001-AC-006,BE-ORA-001,AuthControllerOracleIT.loginSucceedsWithOracleDatabase;DataInitializerコードレビュー,LOGIN-ORA-001;LOGIN-CODE-001,初期データ生成が多数の位置引数に依存していた,2026-06-27,可読性レビュー,リーダブルコード観点レビュー,Medium,可読性,DataInitializerでAppUserの長いコンストラクタ呼び出しが連続していた,社員・上長・管理者の初期データ意図が読み取りやすい,引数の意味とnullの対象項目を追いにくかった,保留（Oracleデータ確認）,,テストデータを最小実装で直接生成していたため,,employee/manager/adminのファクトリメソッドへ分割,,通常mvn testとOracle専用テストで確認,,Oracle実機再確認が必要,有,対応済み,整理済み,AIレビュー（2026-07-15）
D-LOGIN-012,F-001,ログイン,F-001,F-001-AC-003;F-001-AC-006,BE-AUTH-006;BE-AUTH-011;BE-AUTH-014;BE-AUTH-015;FE-AUTH-010,AuthControllerTest;LoginForm.test.tsx,LOGIN-EXP-001;LOGIN-REG-001,バリデーションエラー詳細が実際の制約を表していなかった,2026-06-27,可読性レビュー,リーダブルコード観点レビュー,Medium,可読性,ApiExceptionHandlerで@NotBlankと@Sizeのどちらでも必須項目ですと返していた,制約ごとの意図がレスポンスとコードから分かる,長さ超過でも必須項目として扱われ読み手に誤解を与えた,OK（制約別のコード・メッセージを確認）,,固定メッセージで簡易実装していたため,,LoginRequestに制約別messageを定義しerror.getDefaultMessageを返すよう修正,,長すぎるログインIDの400テストで確認,,確認済み,有,対応済み,整理済み,AIレビュー（2026-07-15）
D-LOGIN-013,F-001,ログイン,F-001,F-001-AC-005;F-001-AC-006,BE-AUTH-004;BE-AUTH-005,AuthControllerTest.logoutRequiresCsrfToken;AuthControllerTest.logoutWithCsrfInvalidatesSession,LOGIN-REG-001,ログアウトテスト名と検証内容が一致していなかった,2026-06-27,可読性レビュー,リーダブルコード観点レビュー,Low,可読性,logoutInvalidatesSessionでCSRFなし403とCSRFあり204とセッション無効化をまとめていた,テスト名から検証意図が明確に分かる,テスト名だけではCSRF検証を含むことが分かりにくかった,OK（テスト名と検証内容が一致）,,セキュリティ指摘対応時に既存テストへ追記したため,,logoutRequiresCsrfTokenとlogoutWithCsrfInvalidatesSessionに分割しloginJson/loginAsヘルパーを追加,,通常mvn testで確認,,確認済み,有,対応済み,整理済み,AIレビュー（2026-07-15）
D-LOGIN-014,F-001,ログイン,F-001,F-001-AC-003;F-001-AC-005;F-001-AC-006,FE-AUTH-004;FE-AUTH-005;FE-AUTH-012,authApi.test.ts,LOGIN-REG-001;LOGIN-EXP-001,authApiのエラー組み立てが可変変数に依存していた,2026-06-27,可読性レビュー,リーダブルコード観点レビュー,Low,可読性,readJsonでlet errorを後から差し替えて例外として投げていた,正常系とエラー組み立ての流れが分かれている,分岐ごとにerror変数が再代入され流れを追う必要があった,OK（JSON・非JSONエラーの変換を確認）,,小さな関数として実装を優先したため,,readErrorを切り出しreadJsonはthrow await readError(response)へ整理,,npm run typecheckとnpm run buildで確認,,確認済み,有,対応済み,整理済み,AIレビュー（2026-07-15）
D-LOGIN-015,F-001,ログイン,F-001,F-001-AC-001;F-001-AC-003;F-001-AC-005;F-001-AC-006,BE-AUTH-007;BE-AUTH-008;BE-AUTH-009;BE-AUTH-010;BE-AUTH-011;BE-AUTH-012;BE-AUTH-013;BE-AUTH-014;BE-AUTH-015;FE-AUTH-001;FE-AUTH-008;FE-AUTH-009;FE-AUTH-010;FE-AUTH-011,AuthControllerTest;authApi.test.ts;LoginForm.test.tsx;loginValidation.test.ts;routePolicy.test.ts,LOGIN-REG-001;LOGIN-BND-001;LOGIN-SEC-001,単体テストケースレビュー観点に対して境界値やセキュリティ回帰テストが不足していた,2026-06-27,テストケースレビュー,単体テストケースレビュー観点,Medium,テスト不足,ログイン機能の現行テストケースをレビューしたところ全ロールAPI応答・存在しないログインID・未指定/空白・境界値・セッションID再発行・パスワードハッシュ非露出の確認が不足していた,単体テストケースレビュー観点に沿って重要な正常系・異常系・境界値・セキュリティ回帰を確認できる,主要な受入条件は確認済みだったが境界値内側やセキュリティ副作用の明示テストが不足していた,OK（不足観点の追加ケースを確認）,,初期テストは受入条件の主要パスを優先して作成したため,,AuthControllerTestに全ロールログイン・セッションID再発行・存在しないログインID・未指定/空白・ログインID/パスワード境界値・パスワードハッシュ非露出・日本語ユーザー名確認を追加,,通常mvn testで13件成功。フロントAPI直接単体テストは環境未整備のため別途検討,,確認済み,有,対応済み,整理済み,AIレビュー（2026-07-15）
D-LOGIN-016,F-001,ログイン,F-001,-,-,FE-CHECK-001;FE-CHECK-002,LOGIN-CODE-001,Vitest移行後に存在しないNodeテストを呼ぶnpm scriptが残っていた,2026-06-27,構成レビュー,ファイル名・フォルダ構成レビュー,Low,構成,frontend/package.jsonのtest:nodeが削除済みのtest/auth.test.mjsを参照していた,package.jsonのテストスクリプトは存在するテスト実行方式だけを参照する,存在しないファイルを参照するためnpm run test:nodeが失敗する状態だった,対象外（テスト構成レビュー）,,Node標準テストからVitestへ移行した際に古いscriptが残ったため,,test:node scriptを削除しVitestのtest/test:watch/coverageに整理,,npm testで確認,,動作テストではなく構成レビュー対象,有,対応済み,対象外,AIレビュー（2026-07-15）
D-LOGIN-017,F-001,ログイン,F-001,-,-,FE-CHECK-001,LOGIN-CODE-001,TypeScriptの型チェック対象にテストコードとVite設定が含まれていなかった,2026-06-27,構成レビュー,ファイル名・フォルダ構成レビュー,Medium,構成,frontend/tsconfig.jsonのincludeがsrcのみでtest配下とvite.config.tsが型チェック対象外だった,フロントのTypeScriptファイルは実装・テスト・Vite設定を型チェック対象にする,npm run typecheckではtest配下の型不整合を検出できない状態だった,対象外（型チェック構成レビュー）,,Vitest導入前の最小構成のままincludeを広げていなかったため,,tsconfig.jsonのincludeにtestとvite.config.tsを追加,,npm run typecheckで確認,,動作テストではなく構成レビュー対象,有,対応済み,対象外,AIレビュー（2026-07-15）
D-LOGIN-018,F-001,ログイン,F-001,-,-,FE-AUTH-001,LOGIN-CODE-001,TypeScript構成の中にroutePolicy.mjsと型定義ファイルが分かれて残っていた,2026-06-27,構成レビュー,ファイル名・フォルダ構成レビュー,Low,命名,frontend/src/routePolicy.mjsとroutePolicy.mjs.d.tsが併用されていた,React TypeScript構成では実装もTypeScriptファイルとして管理する,実装と型定義が分離しファイル名からTypeScript対象か判断しにくかった,対象外（ファイル配置レビュー）,,TypeScriptテスト実行環境が未整備だった時点でJS実装として作成したため,,routePolicy.tsへ変更しauthApiとVitestテストのimportを更新,,npm testとnpm run typecheckで確認,,動作テストではなく構成レビュー対象,有,対応済み,対象外,AIレビュー（2026-07-15）
D-LOGIN-019,F-001,ログイン,F-001,-,-,BE-AUTH-001;BE-ORA-001,LOGIN-CODE-001,認証APIのDTOがAuthDtos.javaに集約されファイル名から型を探しにくかった,2026-06-27,構成レビュー,ファイル名・フォルダ構成レビュー,Low,命名,AuthDtos.javaの内部recordとしてLoginRequestとCurrentUserResponseを定義していた,主要なAPI入出力DTOは型名とファイル名が一致している,LoginRequestやCurrentUserResponseをファイル一覧から直接見つけにくかった,対象外（DTO配置レビュー）,,初期実装では小規模だったためDTOをまとめて配置した,,LoginRequest.javaとCurrentUserResponse.javaへ分割しAuthControllerの参照を更新,,通常mvn testで確認,,動作テストではなくコードレビュー対象,有,対応済み,対象外,AIレビュー（2026-07-15）
D-LOGIN-020,F-001,ログイン,F-001,F-001-AC-001;F-001-AC-002;F-001-AC-003;F-001-AC-004;F-001-AC-005;F-001-AC-006,FE-AUTH-009;FE-AUTH-010;FE-AUTH-011;FE-AUTH-012,LoginForm.test.tsx;authApi.test.ts,LOGIN-INT-001;LOGIN-REQ-001,実装済みログインテストが旧ケース台帳から漏れていた,2026-07-15,テストケース品質レビュー,5観点レビュー,High,トレーサビリティ,実テストファイルとログイン機能_テストケース.mdの一覧を比較する,実装済みの全ケースが受入条件、過去障害、実テスト、レビューへ相互参照できる,LoginFormの3件とlogout失敗の1件が旧台帳に未記載だった,対応済み（追跡表と追加ケースを記録）,テスト追加後のケース台帳更新が追いついていなかった,様式強化前の台帳を継続使用していた,テスト運用,FE-AUTH-009～FE-AUTH-012と品質追跡表を追加,ケース追加時に受入条件ID、実テストID、過去障害・レビューIDを同時登録する,FE-AUTH-009;FE-AUTH-010;FE-AUTH-011;FE-AUTH-012,ログイン機能_テストケース.md;レビュー記録;ケース品質ゲート,Frontend対象14件成功,有,対応済み,整理済み,AIレビュー（2026-07-15）
D-LOGIN-021,F-001,ログイン,F-001,F-001-AC-002;F-001-AC-004;F-001-AC-005;F-001-AC-006,FE-AUTH-013;FE-AUTH-014;FE-AUTH-015;FE-AUTH-016;FE-AUTH-017,App.test.tsx（6件）;LoginForm.test.tsx（1件）,LOGIN-REQ-001;LOGIN-EXP-001;LOGIN-INT-001,ログイン画面の認証状態遷移をApp統合層で確認していない,2026-07-15,テストケース品質レビュー,5観点レビュー,Medium,テスト不足,App.tsxの起動、ログイン成功、ログアウト成功・失敗の状態遷移と既存テストを比較する,未認証画面、ログイン後のロール別画面とURL、ログアウト後のログイン画面、失敗時の認証状態とエラー表示を確認できる,APIと部品単体は確認済みだが、Appを通した画面状態・URL・エラー表示のテストがない,対応済み（画面・URL・エラー表示を確認）,APIと部品の単体テストを優先し、状態管理コンポーネントのテスト層を分けていなかった,画面受入条件とApp統合テストの対応付けが未定義,テスト不足,App.test.tsxとLoginForm.test.tsxへ統合寄りの画面テストを追加,画面受入条件に状態・URL・表示を記載し、ケース追加時にApp統合層を確認する,FE-AUTH-013;FE-AUTH-014;FE-AUTH-015;FE-AUTH-016;FE-AUTH-017,ログイン機能_テストケース.md;App.test.tsx;LoginForm.test.tsx,App/LoginForm 2ファイル10件成功,有,対応済み,整理済み,AIレビュー（2026-07-15）
